# station distance_km azimuth_deg backazimuth_deg
ACIS 9775.103 286.10 84.52
AGAN 13944.524 294.67 70.31
CARP 3009.580 65.16 250.16
CET2 2027.894 55.10 238.06
CHCE 11882.416 289.14 78.45
CIRK 1248.443 2.36 182.46
CMPN 13417.873 293.52 72.35
CNDF 6356.113 74.88 266.72
CO22 14037.734 64.85 290.25
CUP2 14818.544 299.32 64.81
CUTR 13912.117 295.65 69.74
FALC 10837.291 287.11 81.68
FERC 16761.554 41.05 317.15
GERV 1624.294 43.84 225.87
GIMI 10931.201 72.29 278.67
GIOM 11889.166 288.83 78.54
GIOT 15036.622 60.32 296.00
LADO 17310.972 339.97 20.87
LARA 17344.617 22.96 336.16
LATT 10834.871 287.26 81.66
LC22 11892.079 288.69 78.58
MANE 17076.120 32.72 325.92
MC32 1177.995 2.51 182.60
MCDA 1360.492 25.56 206.65
MMN1 6895.020 285.02 91.85
MMN 15133.559 300.39 63.21
MMN9 7532.102 75.03 269.82
MOKA 16373.210 47.46 310.26
MUGA 5512.882 286.49 96.31
OPPI 11991.987 71.08 281.76
RICA 6573.929 285.00 92.66
ROI 6046.254 286.22 94.73
SCAI 15925.582 52.09 305.05
SCAN 2458.468 301.88 117.97
SERA 7745.767 74.94 270.34
SIMB 15938.076 52.36 304.83
SMIN 12925.443 291.33 74.82
SPDC 1145.276 2.58 182.68
SPNT 10830.073 287.56 81.62
SPS2 4979.786 72.65 261.69
UC01 3209.925 66.58 251.97
VBL2 13948.731 294.54 70.38
ALB1 9660.931 73.62 275.18
ATN 12004.254 71.64 281.58
BRICA 11677.120 71.65 280.77
BULG 16428.238 48.57 309.33
CAR1 2511.637 61.02 245.00
CEL 4761.190 72.87 261.29
CELI 9772.109 286.38 84.53
CUC 2694.192 296.10 111.80
GIZZ 5932.459 74.13 265.18
GMB1 17600.057 3.95 355.91
GRI 15847.298 306.91 56.02
GRIS 11789.903 288.37 78.94
JOPP 16710.048 317.25 44.59
MPAZ 16982.576 323.48 38.02
MPNC 17656.880 1.38 358.57
MSCL 13656.460 293.05 72.04
MSRU 11793.123 71.99 280.95
MTTG 17568.714 348.42 11.97
NICCA 6574.338 285.09 92.71
ORI 8278.718 74.52 271.61
PIPA 17494.250 1.29 358.66
PLAC 6364.173 285.80 93.64
SALB 17546.582 358.78 1.27
SDT2 5720.233 285.63 95.21
SELL 3125.670 294.76 109.47
SERS 16571.478 317.03 45.07
SICLA 7746.100 75.38 270.49
SOI 1282.997 27.33 208.37
TDS 6150.558 285.84 94.23
TIP 13920.301 64.73 290.03
SCTE 15716.519 309.63 53.88
BIDON 6790.249 285.59 92.40
CNESE 17213.961 29.30 329.56
FRASC 10939.854 287.44 81.36
LAICA 5610.931 74.09 264.33
SHEVA 6042.687 285.72 94.44
TNOVA 11672.286 71.41 280.83
ZIDIL 16029.147 51.51 305.80
T1811 8069.015 285.78 89.03
T1812 12085.032 70.36 282.26
T1813 17202.888 333.51 27.61
T1886 14508.019 298.24 66.39
